Advertiser_ID,Advertiser_Name,Public_IDs_List,Total_Creatives,Total_Spend_USD,Race Type
AR171972414677188608,WISCONSIN NEXT PAC,FEC ID C00656728,70,42700,State
AR173485342677008384,Mari Manoogian Friends Of,EIN ID 82-2499390,5,0,State House
AR174224214490873856,"IMM, LLC",EIN ID 61-1709313,58,1000,NA
AR175306133932605440,RESTORATION PAC,FEC ID C00571588,174,95900,National
AR176432033839448064,NARAL PRO-CHOICE AMERICA,FEC ID C90004185,6,12000,National
AR182061533373661184,PATIENTS FOR AFFORDABLE DRUGS ACTION,FEC ID C00680926,25,73900,National
AR1838383441641472,TOM MALINOWSKI FOR CONGRESS,FEC ID C00656686,9,13900,House
AR184313333187346432,Hurd for Congress,FEC ID C00545467,6,4300,House
AR186565133001031680,"WITH HONOR FUND, INC.",FEC ID C00659011,536,191000,National
AR18841231253569536,OHIO DEMOCRATIC PARTY,FEC ID C00016899,45,3600,State
AR189769109884370944,IXNAY PAC,FEC ID C00685859,2,100,Senate
AR191068732628402176,HUIZENGA FOR CONGRESS,FEC ID C00459297,1,500,House
AR193738346860642304,The Leadership Conference on Civil & Human Rights,EIN ID 52-0789800,13,2000,National
AR194446432348930048,NRSC,FEC ID C00027466,639,1152300,National
AR196524509325426688,PROGRESSIVE TAKEOVER,FEC ID C00659599,1,0,National
AR196874154023059456,DEFENDARIZONA,FEC ID C00668301,42,224100,Senate
AR199381040534388736,NJ7 CITIZENS FOR CHANGE,FEC ID C00640458,1,0,House
AR200075931883143168,KANEW FOR CONGRESS,FEC ID C00638403,97,1400,House
AR200379397092409344,Kos Media LLC,EIN ID 71-1026233,16,10200,National
AR201201831789985792,JOHN KINGSTON FOR SENATE INC,FEC ID C00650820,252,55600,Senate
AR202327731696828416,CLEARPATH ACTION INC,EIN ID 81-1199760,547,118500,National
AR204405808673325056,SUNDAY GOVER FOR ASSEMBLY 2018,EIN ID 82-1355309,2,2400,State House
AR204473978394247168,MCKINLEY FOR CONGRESS,FEC ID C00473132,15,2100,House
AR204915982068613120,COMMITTEE TO ELECT ROB DAVIDSON,FEC ID C00638254,4,2000,House
AR206312361835888640,GIBBS FOR CONGRESS,FEC ID C00466516,23,8200,House
AR208001211696152576,America's Liberty PAC,FEC ID C00532572,24,600,National
AR210209031044726784,ELIZABETH FOR MA INC,FEC ID C00500843,128,139300,Senate
AR210512496253992960,VOTEVETS.ORG ACTION FUND,FEC ID C90010620,1,300,National
AR21057846695165952,MARTY FOR CONGRESS INC,FEC ID C00658583,32,1200,House
AR211334930951569408,STIVERS FOR CONGRESS,FEC ID C00441352,30,69300,House
AR212051812532879360,MANCHIN FOR WEST VIRGINIA,FEC ID C00486563,6,17500,Senate
AR212460830858412032,ROSKAM FOR CONGRESS COMMITTEE,FEC ID C00410969,142,28200,House
AR212707121463033856,JOHN ROSE FOR TENNESSEE,FEC ID C00652743,21,16400,House
AR213586730765254656,PERRY GERSHON FOR CONGRESS,FEC ID C00650457,42,9700,House
AR216045238764961792,"PERFORMANCE MEDIA MARKETING, INC",EIN ID 46-4449393,4,100,NA
AR216507033648627712,DEMOCRATIC GOVERNORS ASSOCIATION,EIN ID 52-1304889,1,400,Gov
AR219216230299467776,ROSEN FOR NEVADA,FEC ID C00606939,160,153600,Senate
AR219552680857567232,JUDICIAL CRISIS NETWORK,FEC ID C30001689,3,1500,National
AR220342130206310400,GREG STEUBE CONGRESSIONAL COMMITTEE,FEC ID C00671891,94,55100,House
AR22183746602008576,REPUBLICAN MAJORITY FUND,FEC ID C00296640,43,7700,National
AR222066164438663168,FRIENDS OF SUSAN HUTCHISON,FEC ID C00681569,3,1800,Senate
AR222593930019995648,CARLA NELSON FOR CONGRESS,FEC ID C00657056,12,2500,House
AR225745130345201664,DAVID SHAPIRO FOR CONGRESS,FEC ID C00658419,11,500,State House
AR228267410019319808,PROGRESS TOMORROW INC,EIN ID 83-1058941,6,11800,NA
AR229349329461051392,ROMNEY FOR UTAH INC,FEC ID C00670695,11,22500,Senate
AR230475229367894016,SENATE LEADERSHIP FUND,FEC ID C00571703,328,1950700,National
AR231601129274736640,DONOVAN FOR CONGRESS,FEC ID C00571869,1,0,House
AR235409837553352704,ELECTRIC SYMPHONY LLC,EIN ID 46-3284163,53,6000,NA
AR236104728902107136,MARTHA ROBY FOR CONGRESS,FEC ID C00462143,76,30800,House
AR23613111718117376,FRIENDS OF ELIZABETH ESTY,FEC ID C00494203,4,200,House
AR237230628808949760,DR JIM MAXWELL FOR CONGRESS,FEC ID C00666164,40,6400,House
AR239482428622635008,HEIDI FOR SENATE,FEC ID C00505552,102,128300,Senate
AR240608328529477632,RESONATE NETWORKS INC,EIN ID 27-1573058,14,20900,NA
AR240810638668988416,ELIZABETH HENG FOR CONGRESS,FEC ID C00670257,9,1800,House
AR242860128343162880,ELIZABETH PANNILL FLETCHER FOR CONGRESS,FEC ID C00640045,11,4200,House
AR244030008715116544,TEAM STAVA-MURRAY,EIN ID 82-3081534,2,0,State House
AR24435546415693824,PAUL DAVIS FOR KANSAS,FEC ID C00653121,12,6700,Gov
AR245542936714936320,FRIENDS OF DAVE BRAT INC.,FEC ID C00554949,90,26900,House
AR246237828063690752,STABENOW FOR US SENATE,FEC ID C00344473,31,75700,Senate
AR246281808528801792,"YODER FOR CONGRESS, INC",FEC ID C00472365,19,9000,House
AR247363727970533376,BLACKBURN TENNESSEE VICTORY FUND,FEC ID C00676395,12,8900,Senate
AR248489627877376000,DCCC,FEC ID C00000935,123,345900,National
AR249615527784218624,DSCC,FEC ID C00042366,10,3600,National
AR254119127411589120,CFG ACTION WISCONSIN,EIN ID 82-2516740,172,29300,Senate
AR255071304481243136,INDIVISIBLE ACTION,FEC ID C00678839,1,0,National
AR257323104294928384,PLANNED PARENTHOOD VOTES,EIN ID 13-4128897,5,700,National
AR26168376741068800,"Sandoval Creative, INC",EIN ID 80-0011788,4,2000,NA
AR263126326666330112,KIND FOR CONGRESS COMMITTEE,FEC ID C00312017,2,4500,House
AR2634429860151296,MIKE GALLAGHER FOR WISCONSIN,FEC ID C00610212,80,11200,House
AR264252226573172736,Friends of Scott Walker Inc.,EIN ID 39-1816136,5,0,Gov
AR265378126480015360,BRINDISI FOR CONGRESS,FEC ID C00648725,15,18500,House
AR266330303549669376,ANTHONY GONZALEZ FOR CONGRESS,FEC ID C00654079,1,0,House
AR266504026386857984,GUPTA FOR CONGRESS,FEC ID C00662213,7,1400,House
AR26687346229379072,VIRGINIA FOXX FOR CONGRESS,FEC ID C00386748,20,6200,House
AR267629926293700608,"ANDREW CUOMO 2018, INC.",EIN ID 13-4153895,2,2200,Gov
AR271344076572327936,INDEPENDENCE USA PAC,FEC ID C00532705,160,87800,National
AR273259425827913728,SWING LEFT,FEC ID C00632133,4,0,National
AR273303406293024768,MALONEY FOR NEW YORK,EIN ID 83-0176546,29,10200,House
AR274385325734756352,RANDY HULTGREN FOR CONGRESS,FEC ID C00467522,8,19500,House
AR274592033920778240,COMMITTEE TO ELECT DAN KOH,FEC ID C00654509,1,15600,House
AR274803140153311232,AMERICAN POTENTIAL PAC,FEC ID C00685941,18,1800,National
AR276637125548441600,REPUBLICAN NATIONAL COMMITTEE,FEC ID C00003418,17,17500,National
AR277354007129751552,Public Advocate of the United States,EIN ID 52-1112449,101,5300,National
AR278009316059906048,TARKANIAN FOR CONGRESS,FEC ID C00465963,6,500,House
AR278369955873816576,For Our Republic Fund,EIN ID 83-0939337,7,50500,National
AR278888925362126848,TIFFANY SHEDD FOR CONGRESS COMMITTEE,FEC ID C00657155,19,10400,House
AR282266625082654720,"NATURAL RESOURCES DEFENSE COUNCIL, INC.",EIN ID 13-2654926,240,43500,National
AR283392524989497344,COMSTOCK FOR CONGRESS,FEC ID C00554261,222,177800,House
AR284518424896339968,CARYN FOR CONGRESS INC,FEC ID C00654830,8,2500,House
AR284949433454428160,ILHAN FOR CONGRESS,FEC ID C00680934,9,3100,House
AR285644324803182592,THE COMMITTEE TO DEFEND THE PRESIDENT,FEC ID C00544767,151,4500,National
AR288566826709811200,VOLUNTEERS FOR SHIMKUS,FEC ID C00258855,1,0,House
AR28939146043064320,MCSALLY FOR SENATE INC,FEC ID C00666040,550,37200,Senate
AR290068759593353216,NEW YORK STATE DEMOCRATIC COMMITTEE,EIN ID 13-0628260,16,61600,State
AR290864806011863040,DIANE FOR COLORADO CD3,FEC ID C00649459,103,4700,House
AR291273824337395712,AMERICANS FOR PROSPERITY,EIN ID 75-3148958,287,830100,National
AR293569604616192000,OSMACK FOR MISSOURI,FEC ID C00650994,3,800,House
AR29370154601152512,REPUBLICAN PARTY OF IOWA,FEC ID C00014498,4,2200,State
AR294651524057923584,PLANNED PARENTHOOD ACTION FUND INC,FEC ID C90005471,7,25700,National
AR294968183406723072,ARIZONANS FOR LIFE,FEC ID C00681817,2,6000,State
AR296903323871608832,FASO FOR CONGRESS,FEC ID C00580415,13,17200,House
AR299155123685294080,GREG FOR MONTANA,FEC ID C00631945,43,35700,House
AR299458588894560256,LGBTQ VICTORY FUND FEDERAL PAC,FEC ID C00476978,8,800,National
AR300281023592136704,"PLANNED PARENTHOOD FEDERATION OF AMERICA, INC.",EIN ID 13-1644147,50,458100,National
AR30065045949906944,BILL NELSON FOR U S SENATE,FEC ID C00344051,61,375900,Senate
AR30109026415017984,"HUFFINES, DONALD",FEC ID C90009697,5,500,State House
AR301231001638535168,CIVIC,EIN ID 83-0899623,5,300,NA
AR302532823405821952,CARLOS CURBELO CONGRESS,FEC ID C00546846,78,16400,House
AR303658723312664576,CARPER FOR SENATE,FEC ID C00349217,34,67200,Senate
AR3043448185683968,DEAN PHILLIPS FOR CONGRESS,FEC ID C00640714,47,27200,House
AR304375604893974528,KATIE PORTER FOR CONGRESS,FEC ID C00636571,32,23200,House
AR304610900382318592,ELAINE FOR CONGRESS,FEC ID C00664375,1,1900,House
AR305030913824129024,DELBENE FOR CONGRESS,FEC ID C00459099,3,1300,House
AR307071607405281280,JASON CROW FOR CONGRESS,FEC ID C00637363,19,12100,House
AR308162322940035072,JASON RITTEREISER FOR CONGRESS,FEC ID C00650028,12,500,House
AR310414122753720320,MCCREADY FOR CONGRESS,FEC ID C00641381,6,17500,House
AR311843487869829120,NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE,EIN ID 14-1753654,2,100,State
AR31190945856749568,SUSIE LEE FOR CONGRESS,FEC ID C00655613,12,8700,House
AR312492199730216960,TEAM GRAHAM INC,FEC ID C00458828,15,700,Senate
AR312665922567405568,One Nation,EIN ID 27-1937961,325,1581300,National
AR314398752892780544,POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF  ORTHOPAEDIC SURGEONS--PAC OF AAOS,FEC ID C00343137,1,1400,National
AR317169522194776064,PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC,FEC ID C00657866,20,35100,National
AR317600530752864256,MARGARET FOR CONGRESS,FEC ID C00680553,8,1900,House
AR318295422101618688,JOSH GOTTHEIMER FOR CONGRESS,FEC ID C00573949,9,4700,House
AR318339402566729728,Working Families Party,EIN ID 20-0957795,1,3000,State
AR318400975217885184,PATRIOTIC AMERICANS PAC,FEC ID C00637009,4,29400,National
AR319421322008461312,BREDESEN FOR SENATE,FEC ID C00663658,98,213000,Senate
AR321673121822146560,HOUSE MAJORITY PAC,FEC ID C00495028,115,296300,National
AR32316845763592192,WINNING FOR WOMEN INC.,FEC ID C90017609,6,1100,National
AR327302621356359680,FRENCH HILL FOR ARKANSAS,FEC ID C00551275,26,3800,House
AR328428521263202304,MOULTON FOR CONGRESS,FEC ID C00547240,13,4800,House
AR329053043867779072,PRIORITIES USA ACTION & SMP,"FEC ID C00495861, FEC ID C00484642",542,1378400,National
AR329327921774723072,CAROL FOR CONGRESS,FEC ID C00653220,6,100,House
AR329598401635155968,CINDY AXNE FOR CONGRESS,FEC ID C00646844,4,5300,House
AR330680321076887552,"HANDEL FOR CONGRESS, INC.",FEC ID C00633362,14,26700,House
AR330926611681509376,MEL HALL FOR CONGRESS,FEC ID C00657635,2,4000,House
AR331016771634987008,JOSH WELLE FOR CONGRESS,FEC ID C00658336,9,6500,House
AR332932120890572800,ROB WITTMAN FOR CONGRESS,FEC ID H8VA01147,12,6500,House
AR336309820611100672,HOUSLEY FOR SENATE COMMITTEE,FEC ID C00664219,779,134700,Senate
AR336353801076211712,The Rhode Island Coalition Against Gun Violence,EIN ID 46-4140163,6,1800,State
AR338561620424785920,SCHIFF FOR CONGRESS,FEC ID C00343871,10,100,House
AR340989342098915328,FRIENDS OF JAHANA HAYES,FEC ID C00677898,2,800,House
AR345317019865841664,KATHY MANNING FOR CONGRESS,FEC ID C00662577,10,6500,House
AR345361000330952704,COMMITTEE TO ELECT KIMBERLY BIZON,FEC ID C00666594,5,300,House
AR346269196935495680,MICHIGAN REPUBLICAN PARTY,FEC ID C00041160,8,3800,State
AR346442919772684288,"WINNING FOR WOMEN, INC. PAC",FEC ID C00646703,5,4800,National
AR346649627958706176,JOHN CARTER FOR CONGRESS,FEC ID C00371203,4,6300,House
AR347395096842338304,PETE AGUILAR FOR CONGRESS,FEC ID C00510461,5,4500,House
AR3474456743772160,MIKIE SHERRILL FOR CONGRESS,FEC ID C00640003,8,2500,House
AR347568819679526912,FINKENAUER FOR CONGRESS,FEC ID C00637074,16,11600,House
AR34770955716788224,"TBP PRODUCTIONS, LLP",EIN ID 26-2585764,2,1500,NA
AR347872284888793088,COFFMAN FOR CONGRESS 2018,FEC ID C00629287,9,13000,House
AR347905270237626368,HERITAGE ACTION FOR AMERICA,FEC ID C90013525,148,36700,National
AR348694719586369536,CLAUDIA TENNEY FOR CONGRESS,FEC ID C00632828,6,1500,House
AR349031170144468992,CULBERSON FOR CONGRESS,FEC ID C00343236,4,0,House
AR350427549911744512,"NO LABELS ACTION, INC.",FEC ID C00680983,18,146000,National
AR350946519400054784,RADINOVICH FOR CONGRESS,FEC ID C00671032,18,3400,House
AR352116399772008448,ALEX MOONEY FOR CONGRESS,FEC ID C00629949,31,500,House
AR353198319213740032,MAST FOR CONGRESS,FEC ID C00632257,14,22100,House
AR354324219120582656,TENNESSEE JOBS NOW,EIN ID 82-3720631,30,189400,Gov
AR356167000608735232,GILL FOR INDIANA,EIN ID 82-3552871,1,0,State House
AR356402296097079296,"INTERNATIONAL UNION, UAW",EIN ID 38-0679801,52,300,National
AR357701918841110528,GILLIBRAND FOR SENATE,FEC ID C00413914,14,13700,Senate
AR358038369399209984,SHIVA 4 SENATE,FEC ID C00638148,10,200,Senate
AR360160426840817664,JOE MORELLE FOR CONGRESS,FEC ID C00675108,7,2400,House
AR361416069119737856,DSCC & DONNELLY FOR INDIANA,"FEC ID C00042366, FEC ID C00393652",12,42400,Senate
AR363762426933411840,VAN TAYLOR CAMPAIGN,FEC ID C00653634,16,27700,House
AR364457318282166272,"Manhattan Institute for Policy Research, Inc.",EIN ID 13-2912529,2,0,National
AR365627198654119936,LAUREN BAER FOR CONGRESS,FEC ID C00652594,11,1400,House
AR365919668747108352,CITIZENS FOR TURNER,FEC ID C00373001,4,3700,House
AR366181352514519040,MIKE BOST FOR CONGRESS COMMITTEE,FEC ID C00546499,36,16100,House
AR366955408700473344,SUSAN WILD FOR CONGRESS,FEC ID C00658567,26,10300,House
AR368960917909536768,ELISSA SLOTKIN FOR CONGRESS,FEC ID C00650150,20,16100,House
AR372338617630064640,TED CRUZ FOR SENATE,FEC ID C00492785,25,126700,Senate
AR372382598095175680,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,FEC ID C00140590,5,1800,State
AR373464517536907264,COTTON FOR SENATE,FEC ID C00499988,16,200,Senate
AR373882331955462144,SUOZZI FOR CONGRESS,FEC ID C00607200,10,3500,House
AR374363918048428032,PLANNED PARENTHOOD VOTES,FEC ID C00489799,4,20900,National
AR374590417443749888,JUDICIAL WATCH INC,EIN ID 52-1885088,1,3400,National
AR375716317350592512,END CITIZENS UNITED,FEC ID C00573261,166,143900,National
AR376433198931902464,Better Colorado Now,EIN ID 82-1608088,9,5500,Gov
AR37946345297805312,"FREEDOM PARTNERS ACTION FUND, INC.",FEC ID C00564765,12,11800,National
AR381345816884805632,KEN CALVERT FOR CONGRESS COMMITTEE,FEC ID C00257337,71,1700,House
AR382471716791648256,EQUALITY PAC,FEC ID C00550970,43,26700,National
AR384723516605333504,DIANE BLACK FOR GOVERNOR,EIN ID 82-2341542,308,201000,Gov
AR384925826744844288,FRIENDS OF HAGEDORN,FEC ID C00550707,23,9700,House
AR386975316419018752,MARSHA FOR SENATE,FEC ID C00376939,187,256400,Senate
AR388437666883960832,MOVEON.ORG POLITICAL ACTION,FEC ID C00341396,8,700,National
AR390656481348812800,JANET NGUYEN FOR SENATE 2018,EIN ID 20-0879756,2,100,State House
AR391478916046389248,THE COMMITTEE TO ELECT AYANNA PRESSLEY,FEC ID C00667741,13,16600,House
AR392604815953231872,KAINE FOR VIRGINIA,FEC ID C00495358,20,20700,Senate
AR394067166418173952,WALBERG FOR CONGRESS,FEC ID C00390724,5,400,House
AR39408695762747392,WOMEN VOTE!,EIN ID 52-1391360,3,9600,National
AR399360215394287616,COMMITTEE TO ELECT STEVE WATKINS,FEC ID C00660050,36,8800,House
AR399562525533798400,DANIEL WEBSTER FOR CONGRESS,FEC ID C00481911,24,900,House
AR40198145111490560,MONTANANS FOR TESTER,FEC ID C00412304,86,71900,Senate
AR402737915114815488,WOMEN VOTE!,FEC ID C00473918,82,7700,National
AR404989714928500736,American Conservative Union,EIN ID 52-0810813,19,211100,National
AR408367414649028608,FRIENDS OF LUCY MCBATH INC.,FEC ID C00672295,27,18500,House
AR408411395114139648,NEAL SIMON FOR U.S. SENATE,FEC ID C00671073,33,11900,Senate
AR410392715067392000,MISSISSIPPI REPUBLICAN PARTY,EIN ID 64-0369351,2,100,State
AR411745114369556480,MARY BARZEE FLORES FOR CONGRESS,FEC ID C00651471,64,7800,House
AR41368025483444224,REPUBLICAN NATIONAL SENATORIAL INDEPENDENT EXPENDITURE COMMITTEE,FEC ID C00166439,1,248000,National
AR416248713996926976,DUFFY FOR WISCONSIN,FEC ID C00464339,16,3000,House
AR416552179206193152,OLSON FOR CONGRESS COMMITTEE,FEC ID C00437913,4,800,House
AR4169348092526592,FLORIDA GROWN PAC,EIN ID 47-3101952,12,33900,State
AR417418594368880640,"CLA, INC.",EIN ID 82-1313517,52,99800,National
AR418326790973423616,"EVERYTOWN FOR GUN SAFETY ACTION FUND, INC. PAC (EVERYTOWN PAC)",FEC ID C00640086,7,2900,National
AR418918328229167104,KOHL VICTORY FUND,FEC ID C00662346,15,83800,House
AR419626413717454848,TAMMY BALDWIN FOR SENATE,FEC ID C00326801,48,264700,Senate
AR419929878926721024,SPANBERGER FOR CONGRESS,FEC ID C00649913,36,16800,House
AR423004113437982720,SCALISE FOR CONGRESS,FEC ID C00394957,3,300,House
AR424173993809936384,STITT FOR GOVERNOR 2018,EIN ID 82-2044735,1,500,Gov
AR424466463902924800,AMERICANS FOR PROSPERITY ACTION INC,EIN ID 83-1800586,33,31400,National
AR42449944925175808,MARTIN HEINRICH FOR SENATE,FEC ID C00434563,71,58900,Senate
AR425255913251667968,KATIE ARRINGTON FOR CONGRESS,FEC ID C00653204,8,800,House
AR426381813158510592,BRIGHT FOR CONGRESS,FEC ID C00446138,3,100,House
AR42696235529797632,"KUSTER FOR CONGRESS, INC",FEC ID C00462861,22,16100,House
AR427507713065353216,AMERICA FIRST POLICIES INC.,FEC ID C30002778,4,6600,National
AR428633612972195840,"AMERICAN CIVIL LIBERTIES UNION, INC",EIN ID 13-3871360,272,29100,National
AR429064621530284032,HARRY FOR CT INC.,FEC ID C00664151,161,17200,House
AR429759512879038464,RANDY BRYCE FOR CONGRESS,FEC ID C00647537,63,47300,House
AR434979994087718912,Zephyr for New York,EIN ID 47-1058084,37,43000,State House
AR435389012413251584,"KEVIN ABEL FOR CONGRESS, INC.",FEC ID C00658625,9,500,House
AR435820020971339776,CONSERVATIVE TRIUMPH FUND,FEC ID C00634717,14,8900,National
AR436057515482939392,"Data Targeting, Inc.",EIN ID 59-3347457,67,8700,National
AR436514912320094208,SINEMA FOR ARIZONA,FEC ID C00508804,48,176600,Senate
AR437684792692047872,MONOCLE CONSULTING LLC,EIN ID 83-1423106,1,1400,NA
AR443573776970416128,CFG Action Montana,EIN ID 82-2295568,263,51400,Senate
AR444396211667992576,PETE STAUBER FOR CONGRESS VOLUNTEER COMMITTEE,FEC ID C00650697,24,28100,House
AR444440192133103616,SABER COMMUNICATIONS INC,EIN ID 54-1661181,24,2300,NA
AR445348388737646592,AMY MCGRATH FOR CONGRESS,FEC ID C00646745,33,300,House
AR445522111574835200,STEWART FOR SENATE INC,FEC ID C00650374,76,2700,Senate
AR44622579901661184,WENDYROGERS.ORG,FEC ID C00510958,2,2800,House
AR446951476690944000,UPTON FOR ALL OF US,FEC ID C00200584,16,2300,House
AR447694746551320576,MJ FOR TEXAS,FEC ID C00649350,16,21500,House
AR450025711202205696,LEA MARQUEZ PETERSON FOR CONGRESS,FEC ID C00663054,16,6800,House
AR452277511015890944,MORRISEY FOR SENATE INC,FEC ID C00651075,183,9600,Senate
AR453403410922733568,BURCHETT FOR CONGRESS,FEC ID C00652149,53,600,House
AR454529310829576192,JOSH HAWLEY FOR SENATE,FEC ID C00652727,239,108700,Senate
AR455958675945684992,COMMITTEE TO ELECT JARED GOLDEN,FEC ID C00653816,6,3300,House
AR455991661294518272,DEBBIE FOR CONGRESS,FEC ID C00652065,3,800,House
AR459032910456946688,CATHY FOR CONGRESS,FEC ID C00648907,53,16500,House
